,sgRNA,d15-1,d15-2,d15-3,spleen5,spleen4,spleen3,spleen2,spleen1,bm5,bm4,bm3,bm2,bm1,input
851,gRNA_13601,709.0,591.0,151.0,686.0,461.0,465.0,4837.0,827.0,238.0,841.0,1316.0,749.0,701.0,4531.0
852,gRNA_13602,584.0,495.0,119.0,283.0,134.0,234.0,2248.0,220.0,188.0,297.0,373.0,268.0,375.0,3436.0
853,gRNA_13603,580.0,318.0,52.0,279.0,188.0,335.0,2010.0,460.0,298.0,688.0,411.0,308.0,469.0,3479.0
854,gRNA_13604,970.0,771.0,160.0,473.0,381.0,486.0,3879.0,593.0,334.0,1270.0,656.0,817.0,1007.0,6035.0
855,gRNA_13605,244.0,142.0,24.0,68.0,40.0,52.0,544.0,91.0,294.0,106.0,116.0,78.0,45.0,1244.0
856,gRNA_13606,3629.0,2076.0,649.0,1533.0,740.0,1552.0,8807.0,1622.0,592.0,2678.0,2531.0,1564.0,1904.0,10489.0
857,gRNA_13607,3436.0,2092.0,638.0,1238.0,803.0,1310.0,9428.0,1529.0,714.0,1047.0,2361.0,1675.0,2786.0,10771.0
858,gRNA_13608,803.0,297.0,62.0,311.0,213.0,345.0,2562.0,394.0,106.0,627.0,467.0,766.0,462.0,2060.0
1200,gRNA_14579,869.0,590.0,146.0,368.0,334.0,375.0,4905.0,537.0,275.0,906.0,594.0,1146.0,685.0,3227.0
1201,gRNA_14580,643.0,365.0,85.0,198.0,131.0,298.0,2716.0,345.0,128.0,327.0,541.0,389.0,579.0,2541.0
1202,gRNA_14581,524.0,339.0,83.0,523.0,360.0,305.0,2528.0,527.0,420.0,1168.0,415.0,247.0,359.0,2806.0
1203,gRNA_14582,272.0,154.0,41.0,196.0,148.0,218.0,1913.0,243.0,129.0,449.0,354.0,378.0,514.0,1862.0
1204,gRNA_14583,66.0,40.0,0.0,150.0,65.0,138.0,464.0,94.0,84.0,271.0,190.0,128.0,130.0,594.0
1205,gRNA_14584,881.0,734.0,161.0,262.0,133.0,152.0,2266.0,237.0,81.0,310.0,367.0,296.0,340.0,2542.0
1206,gRNA_14585,1231.0,626.0,177.0,271.0,215.0,271.0,2453.0,502.0,120.0,1114.0,614.0,717.0,618.0,2845.0
1207,gRNA_14586,1495.0,886.0,232.0,615.0,515.0,681.0,5734.0,748.0,367.0,1743.0,1524.0,644.0,885.0,5490.0
1208,gRNA_14587,451.0,256.0,60.0,219.0,147.0,160.0,1585.0,146.0,218.0,968.0,324.0,214.0,221.0,1822.0
1209,gRNA_14588,1807.0,1053.0,346.0,498.0,421.0,463.0,4294.0,706.0,189.0,1218.0,1289.0,575.0,1076.0,4922.0
1210,gRNA_14589,411.0,275.0,34.0,165.0,203.0,134.0,1675.0,184.0,267.0,392.0,482.0,284.0,305.0,1716.0
1211,gRNA_14590,493.0,211.0,106.0,247.0,212.0,232.0,2628.0,401.0,83.0,1089.0,372.0,341.0,556.0,1413.0
1212,gRNA_14591,3291.0,1301.0,552.0,873.0,408.0,801.0,5532.0,710.0,365.0,1507.0,2359.0,850.0,932.0,4450.0
1213,gRNA_14592,3.0,5.0,0.0,0.0,3.0,2.0,11.0,3.0,0.0,12.0,7.0,0.0,13.0,34.0
